fen,played_move_uci
r1bqr1k1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/2RQ1RK1 b - - 3 17,d7f6
r1bqr1k1/pp3pb1/2p2n1p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/2RQ1RK1 w - - 4 18,d1a4
r1bqr1k1/pp3pb1/2p2n1p/1PPp2p1/Q2Pp3/2N1P1P1/P2NBPP1/2R2RK1 b - - 5 18,d8c7
r1b1r1k1/ppq2pb1/2p2n1p/1PPp2p1/Q2Pp3/2N1P1P1/P2NBPP1/2R2RK1 w - - 6 19,d2b3
r1b1r1k1/ppq2pb1/2p2n1p/1PPp2p1/Q2Pp3/1NN1P1P1/P3BPP1/2R2RK1 b - - 7 19,a7a5
r1b1r1k1/1pq2pb1/2p2n1p/pPPp2p1/Q2Pp3/1NN1P1P1/P3BPP1/2R2RK1 w - a6 0 20,b5a6
r1b1r1k1/1pq2pb1/P1p2n1p/2Pp2p1/Q2Pp3/1NN1P1P1/P3BPP1/2R2RK1 b - - 0 20,c8g4
r3r1k1/1pq2pb1/P1p2n1p/2Pp2p1/Q2Pp1b1/1NN1P1P1/P3BPP1/2R2RK1 w - - 1 21,e2g4
r3r1k1/1pq2pb1/P1p2n1p/2Pp2p1/Q2Pp1B1/1NN1P1P1/P4PP1/2R2RK1 b - - 0 21,f6g4
r3r1k1/1pq2pb1/P1p4p/2Pp2p1/Q2Pp1n1/1NN1P1P1/P4PP1/2R2RK1 w - - 0 22,a6a7
r3r1k1/Ppq2pb1/2p4p/2Pp2p1/Q2Pp1n1/1NN1P1P1/P4PP1/2R2RK1 b - - 0 22,h6h5
r3r1k1/Ppq2pb1/2p5/2Pp2pp/Q2Pp1n1/1NN1P1P1/P4PP1/2R2RK1 w - - 0 23,a4a5
r3r1k1/Ppq2pb1/2p5/Q1Pp2pp/3Pp1n1/1NN1P1P1/P4PP1/2R2RK1 b - - 1 23,c7a5
r3r1k1/Pp3pb1/2p5/q1Pp2pp/3Pp1n1/1NN1P1P1/P4PP1/2R2RK1 w - - 0 24,b3a5
r3r1k1/Pp3pb1/2p5/N1Pp2pp/3Pp1n1/2N1P1P1/P4PP1/2R2RK1 b - - 0 24,a8a7
4r1k1/rp3pb1/2p5/N1Pp2pp/3Pp1n1/2N1P1P1/P4PP1/2R2RK1 w - - 0 25,a5b3
4r1k1/rp3pb1/2p5/2Pp2pp/3Pp1n1/1NN1P1P1/P4PP1/2R2RK1 b - - 1 25,h5h4
4r1k1/rp3pb1/2p5/2Pp2p1/3Pp1np/1NN1P1P1/P4PP1/2R2RK1 w - - 0 26,g3h4
4r1k1/rp3pb1/2p5/2Pp2p1/3Pp1nP/1NN1P3/P4PP1/2R2RK1 b - - 0 26,g5h4
4r1k1/rp3pb1/2p5/2Pp4/3Pp1np/1NN1P3/P4PP1/2R2RK1 w - - 0 27,c1b1
4r1k1/rp3pb1/2p5/2Pp4/3Pp1np/1NN1P3/P4PP1/1R3RK1 b - - 1 27,e8e6
6k1/rp3pb1/2p1r3/2Pp4/3Pp1np/1NN1P3/P4PP1/1R3RK1 w - - 2 28,c3e2
6k1/rp3pb1/2p1r3/2Pp4/3Pp1np/1N2P3/P3NPP1/1R3RK1 b - - 3 28,f7f5
6k1/rp4b1/2p1r3/2Pp1p2/3Pp1np/1N2P3/P3NPP1/1R3RK1 w - - 0 29,b1b2
6k1/rp4b1/2p1r3/2Pp1p2/3Pp1np/1N2P3/PR2NPP1/5RK1 b - - 1 29,g7h6
6k1/rp6/2p1r2b/2Pp1p2/3Pp1np/1N2P3/PR2NPP1/5RK1 w - - 2 30,e2f4
6k1/rp6/2p1r2b/2Pp1p2/3PpNnp/1N2P3/PR3PP1/5RK1 b - - 3 30,h6f4
6k1/rp6/2p1r3/2Pp1p2/3Ppbnp/1N2P3/PR3PP1/5RK1 w - - 0 31,e3f4
6k1/rp6/2p1r3/2Pp1p2/3PpPnp/1N6/PR3PP1/5RK1 b - - 0 31,a7a5
6k1/1p6/2p1r3/r1Pp1p2/3PpPnp/1N6/PR3PP1/5RK1 w - - 1 32,f1e1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,g1f3
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,g8f6
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,g2g3
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,c8f5
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 1 4,f1g2
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 2 4,e7e6
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,e1g1
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 1 5,b7b5
rn1qkb1r/p1p2ppp/4pn2/1p1p1b2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq - 0 6,h2h4
rn1qkb1r/p1p2ppp/4pn2/1p1p1b2/3P3P/5NP1/PPP1PPB1/RNBQ1RK1 b kq - 0 6,f8e7
rn1qk2r/p1p1bppp/4pn2/1p1p1b2/3P3P/5NP1/PPP1PPB1/RNBQ1RK1 w kq - 1 7,f3e5
