fen,played_move_uci
r1b2r2/1p2k3/p3ppQp/4q3/2P3P1/5K2/P1P4P/3RR3 b - - 2 29,e5c3
r1b2r2/1p2k3/p3ppQp/8/2P3P1/2q2K2/P1P4P/3RR3 w - - 3 30,d1d3
r1b2r2/1p2k3/p3ppQp/8/2P3P1/2qR1K2/P1P4P/4R3 b - - 4 30,c3e1
r1b2r2/1p2k3/p3ppQp/8/2P3P1/3R1K2/P1P4P/4q3 w - - 0 31,g6g7
r1b2r2/1p2k1Q1/p3pp1p/8/2P3P1/3R1K2/P1P4P/4q3 b - - 1 31,f8f7
r1b5/1p2krQ1/p3pp1p/8/2P3P1/3R1K2/P1P4P/4q3 w - - 2 32,g7g8
r1b3Q1/1p2kr2/p3pp1p/8/2P3P1/3R1K2/P1P4P/4q3 b - - 3 32,e1a5
r1b3Q1/1p2kr2/p3pp1p/q7/2P3P1/3R1K2/P1P4P/8 w - - 4 33,h2h4
r1b3Q1/1p2kr2/p3pp1p/q7/2P3PP/3R1K2/P1P5/8 b - - 0 33,b7b5
r1b3Q1/4kr2/p3pp1p/qp6/2P3PP/3R1K2/P1P5/8 w - - 0 34,f3g3
r1b3Q1/4kr2/p3pp1p/qp6/2P3PP/3R2K1/P1P5/8 b - - 1 34,b5c4
r1b3Q1/4kr2/p3pp1p/q7/2p3PP/3R2K1/P1P5/8 w - - 0 35,d3e3
r1b3Q1/4kr2/p3pp1p/q7/2p3PP/4R1K1/P1P5/8 b - - 1 35,c8b7
r5Q1/1b2kr2/p3pp1p/q7/2p3PP/4R1K1/P1P5/8 w - - 2 36,g8g6
r7/1b2kr2/p3ppQp/q7/2p3PP/4R1K1/P1P5/8 b - - 3 36,a8d8
3r4/1b2kr2/p3ppQp/q7/2p3PP/4R1K1/P1P5/8 w - - 4 37,g6f5
3r4/1b2kr2/p3pp1p/q4Q2/2p3PP/4R1K1/P1P5/8 b - - 5 37,a5f5
3r4/1b2kr2/p3pp1p/5q2/2p3PP/4R1K1/P1P5/8 w - - 0 38,g4f5
3r4/1b2kr2/p3pp1p/5P2/2p4P/4R1K1/P1P5/8 b - - 0 38,e6e5
3r4/1b2kr2/p4p1p/4pP2/2p4P/4R1K1/P1P5/8 w - - 0 39,h4h5
3r4/1b2kr2/p4p1p/4pP1P/2p5/4R1K1/P1P5/8 b - - 0 39,f7g7
3r4/1b2k1r1/p4p1p/4pP1P/2p5/4R1K1/P1P5/8 w - - 1 40,g3h4
3r4/1b2k1r1/p4p1p/4pP1P/2p4K/4R3/P1P5/8 b - - 2 40,d8d4
8/1b2k1r1/p4p1p/4pP1P/2pr3K/4R3/P1P5/8 w - - 3 41,h4h3
8/1b2k1r1/p4p1p/4pP1P/2pr4/4R2K/P1P5/8 b - - 4 41,b7g2
8/4k1r1/p4p1p/4pP1P/2pr4/4R2K/P1P3b1/8 w - - 5 42,h3h2
8/4k1r1/p4p1p/4pP1P/2pr4/4R3/P1P3bK/8 b - - 6 42,g2f1
8/4k1r1/p4p1p/4pP1P/2pr4/4R3/P1P4K/5b2 w - - 7 43,e3g3
8/4k1r1/p4p1p/4pP1P/2pr4/6R1/P1P4K/5b2 b - - 8 43,d4h4
8/4k1r1/p4p1p/4pP1P/2p4r/6R1/P1P4K/5b2 w - - 9 44,h2g1
8/4k1r1/p4p1p/4pP1P/2p4r/6R1/P1P5/5bK1 b - - 10 44,g7g3
8/4k3/p4p1p/4pP1P/2p4r/6r1/P1P5/5bK1 w - - 0 45,g1f2
8/4k3/p4p1p/4pP1P/2p4r/6r1/P1P2K2/5b2 b - - 1 45,g3g5
8/4k3/p4p1p/4pPrP/2p4r/8/P1P2K2/5b2 w - - 2 46,c2c3
8/4k3/p4p1p/4pPrP/2p4r/2P5/P4K2/5b2 b - - 0 46,h4h3
8/4k3/p4p1p/4pPrP/2p5/2P4r/P4K2/5b2 w - - 1 47,a2a4
8/4k3/p4p1p/4pPrP/P1p5/2P4r/5K2/5b2 b - - 0 47,g5g2
8/4k3/p4p1p/4pP1P/P1p5/2P4r/5Kr1/5b2 w - - 1 48,f2e1
8/4k3/p4p1p/4pP1P/P1p5/2P4r/6r1/4Kb2 b - - 2 48,g2a2
8/4k3/p4p1p/4pP1P/P1p5/2P4r/r7/4Kb2 w - - 3 49,e1d1
8/4k3/p4p1p/4pP1P/P1p5/2P4r/r7/3K1b2 b - - 4 49,h3c3
8/4k3/p4p1p/4pP1P/P1p5/2r5/r7/3K1b2 w - - 0 50,a4a5
8/4k3/p4p1p/P3pP1P/2p5/2r5/r7/3K1b2 b - - 0 50,c3b3
8/4k3/p4p1p/P3pP1P/2p5/1r6/r7/3K1b2 w - - 1 51,d1c1
8/4k3/p4p1p/P3pP1P/2p5/1r6/r7/2K2b2 b - - 2 51,a2h2
8/4k3/p4p1p/P3pP1P/2p5/1r6/7r/2K2b2 w - - 3 52,c1d1
8/4k3/p4p1p/P3pP1P/2p5/1r6/7r/3K1b2 b - - 4 52,f1h3
8/4k3/p4p1p/P3pP1P/2p5/1r5b/7r/3K4 w - - 5 53,d1e1
8/4k3/p4p1p/P3pP1P/2p5/1r5b/7r/4K3 b - - 6 53,h2h1
8/4k3/p4p1p/P3pP1P/2p5/1r5b/8/4K2r w - - 7 54,e1f2
8/4k3/p4p1p/P3pP1P/2p5/1r5b/5K2/7r b - - 8 54,h1h2
8/4k3/p4p1p/P3pP1P/2p5/1r5b/5K1r/8 w - - 9 55,f2g1
8/4k3/p4p1p/P3pP1P/2p5/1r5b/7r/6K1 b - - 10 55,b3b1
8/4k3/p4p1p/P3pP1P/2p5/7b/7r/1r4K1 w - - 11 56,g1h2
8/4k3/p4p1p/P3pP1P/2p5/7b/7K/1r6 b - - 0 56,h3f5
8/4k3/p4p1p/P3pb1P/2p5/8/7K/1r6 w - - 0 57,h2g3
8/4k3/p4p1p/P3pb1P/2p5/6K1/8/1r6 b - - 1 57,c4c3
8/4k3/p4p1p/P3pb1P/8/2p3K1/8/1r6 w - - 0 58,g3f2
8/4k3/p4p1p/P3pb1P/8/2p5/5K2/1r6 b - - 1 58,e7e6
8/8/p3kp1p/P3pb1P/8/2p5/5K2/1r6 w - - 2 59,f2e3
8/8/p3kp1p/P3pb1P/8/2p1K3/8/1r6 b - - 3 59,c3c2
8/8/p3kp1p/P3pb1P/8/4K3/2p5/1r6 w - - 0 60,e3e2
8/8/p3kp1p/P3pb1P/8/8/2p1K3/1r6 b - - 1 60,c2c1q
8/8/p3kp1p/P3pb1P/8/8/4K3/1rq5 w - - 0 61,e2f2
8/8/p3kp1p/P3pb1P/8/8/5K2/1rq5 b - - 1 61,b1b3
8/8/p3kp1p/P3pb1P/8/1r6/5K2/2q5 w - - 2 62,f2e2
8/8/p3kp1p/P3pb1P/8/1r6/4K3/2q5 b - - 3 62,c1c2
8/8/p3kp1p/P3pb1P/8/1r6/2q1K3/8 w - - 4 63,e2e1
8/8/p3kp1p/P3pb1P/8/1r6/2q5/4K3 b - - 5 63,b3b1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,c7c6
rnbqkbnr/pp2pppp/2p5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,c2c4
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,g8f6
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,g2g3
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,e7e6
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,f1g2
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 5,b8d7
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 2 6,e1g1
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 3 6,f8e7
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq - 4 7,b1c3
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 5 7,e8g8
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 6 8,d1c2
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1 b - - 7 8,d5c4
r1bq1rk1/pp1nbppp/2p1pn2/8/2pP4/2N2NP1/PPQ1PPBP/R1B2RK1 w - - 0 9,e2e4
r1bq1rk1/pp1nbppp/2p1pn2/8/2pPP3/2N2NP1/PPQ2PBP/R1B2RK1 b - - 0 9,b7b5
r1bq1rk1/p2nbppp/2p1pn2/1p6/2pPP3/2N2NP1/PPQ2PBP/R1B2RK1 w - - 0 10,e4e5
r1bq1rk1/p2nbppp/2p1pn2/1p2P3/2pP4/2N2NP1/PPQ2PBP/R1B2RK1 b - - 0 10,f6d5
r1bq1rk1/p2nbppp/2p1p3/1p1nP3/2pP4/2N2NP1/PPQ2PBP/R1B2RK1 w - - 1 11,c3e4
r1bq1rk1/p2nbppp/2p1p3/1p1nP3/2pPN3/5NP1/PPQ2PBP/R1B2RK1 b - - 2 11,c8b7
r2q1rk1/pb1nbppp/2p1p3/1p1nP3/2pPN3/5NP1/PPQ2PBP/R1B2RK1 w - - 3 12,f1d1
r2q1rk1/pb1nbppp/2p1p3/1p1nP3/2pPN3/5NP1/PPQ2PBP/R1BR2K1 b - - 4 12,h7h6
r2q1rk1/pb1nbpp1/2p1p2p/1p1nP3/2pPN3/5NP1/PPQ2PBP/R1BR2K1 w - - 0 13,h2h4
r2q1rk1/pb1nbpp1/2p1p2p/1p1nP3/2pPN2P/5NP1/PPQ2PB1/R1BR2K1 b - - 0 13,a8c8
2rq1rk1/pb1nbpp1/2p1p2p/1p1nP3/2pPN2P/5NP1/PPQ2PB1/R1BR2K1 w - - 1 14,h4h5
2rq1rk1/pb1nbpp1/2p1p2p/1p1nP2P/2pPN3/5NP1/PPQ2PB1/R1BR2K1 b - - 0 14,c6c5
2rq1rk1/pb1nbpp1/4p2p/1ppnP2P/2pPN3/5NP1/PPQ2PB1/R1BR2K1 w - - 0 15,a2a4
2rq1rk1/pb1nbpp1/4p2p/1ppnP2P/P1pPN3/5NP1/1PQ2PB1/R1BR2K1 b - - 0 15,a7a6
2rq1rk1/1b1nbpp1/p3p2p/1ppnP2P/P1pPN3/5NP1/1PQ2PB1/R1BR2K1 w - - 0 16,a4b5
2rq1rk1/1b1nbpp1/p3p2p/1PpnP2P/2pPN3/5NP1/1PQ2PB1/R1BR2K1 b - - 0 16,a6b5
2rq1rk1/1b1nbpp1/4p2p/1ppnP2P/2pPN3/5NP1/1PQ2PB1/R1BR2K1 w - - 0 17,c2e2
2rq1rk1/1b1nbpp1/4p2p/1ppnP2P/2pPN3/5NP1/1P2QPB1/R1BR2K1 b - - 1 17,c5d4
2rq1rk1/1b1nbpp1/4p2p/1p1nP2P/2ppN3/5NP1/1P2QPB1/R1BR2K1 w - - 0 18,f3d4
2rq1rk1/1b1nbpp1/4p2p/1p1nP2P/2pNN3/6P1/1P2QPB1/R1BR2K1 b - - 0 18,d7e5
2rq1rk1/1b2bpp1/4p2p/1p1nn2P/2pNN3/6P1/1P2QPB1/R1BR2K1 w - - 0 19,d4b5
2rq1rk1/1b2bpp1/4p2p/1N1nn2P/2p1N3/6P1/1P2QPB1/R1BR2K1 b - - 0 19,e7c5
2rq1rk1/1b3pp1/4p2p/1Nbnn2P/2p1N3/6P1/1P2QPB1/R1BR2K1 w - - 1 20,g1h2
2rq1rk1/1b3pp1/4p2p/1Nbnn2P/2p1N3/6P1/1P2QPBK/R1BR4 b - - 2 20,e5d3
2rq1rk1/1b3pp1/4p2p/1Nbn3P/2p1N3/3n2P1/1P2QPBK/R1BR4 w - - 3 21,e4c5
2rq1rk1/1b3pp1/4p2p/1NNn3P/2p5/3n2P1/1P2QPBK/R1BR4 b - - 0 21,c8c5
3q1rk1/1b3pp1/4p2p/1Nrn3P/2p5/3n2P1/1P2QPBK/R1BR4 w - - 0 22,b5c3
3q1rk1/1b3pp1/4p2p/2rn3P/2p5/2Nn2P1/1P2QPBK/R1BR4 b - - 1 22,d5f6
3q1rk1/1b3pp1/4pn1p/2r4P/2p5/2Nn2P1/1P2QPBK/R1BR4 w - - 2 23,g2b7
3q1rk1/1B3pp1/4pn1p/2r4P/2p5/2Nn2P1/1P2QP1K/R1BR4 b - - 0 23,c5h5
3q1rk1/1B3pp1/4pn1p/7r/2p5/2Nn2P1/1P2QP1K/R1BR4 w - - 0 24,h2g2
3q1rk1/1B3pp1/4pn1p/7r/2p5/2Nn2P1/1P2QPK1/R1BR4 b - - 1 24,e6e5
3q1rk1/1B3pp1/5n1p/4p2r/2p5/2Nn2P1/1P2QPK1/R1BR4 w - - 0 25,b7f3
3q1rk1/5pp1/5n1p/4p2r/2p5/2Nn1BP1/1P2QPK1/R1BR4 b - - 1 25,h5f5
3q1rk1/5pp1/5n1p/4pr2/2p5/2Nn1BP1/1P2QPK1/R1BR4 w - - 2 26,c3e4
3q1rk1/5pp1/5n1p/4pr2/2p1N3/3n1BP1/1P2QPK1/R1BR4 b - - 3 26,f6e4
3q1rk1/5pp1/7p/4pr2/2p1n3/3n1BP1/1P2QPK1/R1BR4 w - - 0 27,f3e4
3q1rk1/5pp1/7p/4pr2/2p1B3/3n2P1/1P2QPK1/R1BR4 b - - 0 27,f5f2
3q1rk1/5pp1/7p/4p3/2p1B3/3n2P1/1P2QrK1/R1BR4 w - - 0 28,e2f2
3q1rk1/5pp1/7p/4p3/2p1B3/3n2P1/1P3QK1/R1BR4 b - - 0 28,d3f2
3q1rk1/5pp1/7p/4p3/2p1B3/6P1/1P3nK1/R1BR4 w - - 0 29,d1d8
3R1rk1/5pp1/7p/4p3/2p1B3/6P1/1P3nK1/R1B5 b - - 0 29,f2e4
3R1rk1/5pp1/7p/4p3/2p1n3/6P1/1P4K1/R1B5 w - - 0 30,d8f8
5Rk1/5pp1/7p/4p3/2p1n3/6P1/1P4K1/R1B5 b - - 0 30,g8f8
5k2/5pp1/7p/4p3/2p1n3/6P1/1P4K1/R1B5 w - - 0 31,a1a8
R4k2/5pp1/7p/4p3/2p1n3/6P1/1P4K1/2B5 b - - 1 31,f8e7
R7/4kpp1/7p/4p3/2p1n3/6P1/1P4K1/2B5 w - - 2 32,a8a7
8/R3kpp1/7p/4p3/2p1n3/6P1/1P4K1/2B5 b - - 3 32,e7e6
8/R4pp1/4k2p/4p3/2p1n3/6P1/1P4K1/2B5 w - - 4 33,a7a6
8/5pp1/R3k2p/4p3/2p1n3/6P1/1P4K1/2B5 b - - 5 33,e6f5
8/5pp1/R6p/4pk2/2p1n3/6P1/1P4K1/2B5 w - - 6 34,c1e3
8/5pp1/R6p/4pk2/2p1n3/4B1P1/1P4K1/8 b - - 7 34,f7f6
8/6p1/R4p1p/4pk2/2p1n3/4B1P1/1P4K1/8 w - - 0 35,a6a5
8/6p1/5p1p/R3pk2/2p1n3/4B1P1/1P4K1/8 b - - 1 35,g7g5
8/8/5p1p/R3pkp1/2p1n3/4B1P1/1P4K1/8 w - - 0 36,a5c5
8/8/5p1p/2R1pkp1/2p1n3/4B1P1/1P4K1/8 b - - 1 36,h6h5
8/8/5p2/2R1pkpp/2p1n3/4B1P1/1P4K1/8 w - - 0 37,c5c4
8/8/5p2/4pkpp/2R1n3/4B1P1/1P4K1/8 b - - 0 37,g5g4
8/8/5p2/4pk1p/2R1n1p1/4B1P1/1P4K1/8 w - - 0 38,c4e4
8/8/5p2/4pk1p/4R1p1/4B1P1/1P4K1/8 b - - 0 38,f5e4
8/8/5p2/4p2p/4k1p1/4B1P1/1P4K1/8 w - - 0 39,b2b4
8/8/5p2/4p2p/1P2k1p1/4B1P1/6K1/8 b - - 0 39,e4d5
8/8/5p2/3kp2p/1P4p1/4B1P1/6K1/8 w - - 1 40,b4b5
8/8/5p2/1P1kp2p/6p1/4B1P1/6K1/8 b - - 0 40,f6f5
8/8/8/1P1kpp1p/6p1/4B1P1/6K1/8 w - - 0 41,b5b6
8/8/1P6/3kpp1p/6p1/4B1P1/6K1/8 b - - 0 41,d5c6
8/8/1Pk5/4pp1p/6p1/4B1P1/6K1/8 w - - 1 42,e3d4
8/8/1Pk5/4pp1p/3B2p1/6P1/6K1/8 b - - 2 42,c6d6
8/8/1P1k4/4pp1p/3B2p1/6P1/6K1/8 w - - 3 43,d4e5
8/8/1P1k4/4Bp1p/6p1/6P1/6K1/8 b - - 0 43,d6e5
8/8/1P6/4kp1p/6p1/6P1/6K1/8 w - - 0 44,b6b7
8/1P6/8/4kp1p/6p1/6P1/6K1/8 b - - 0 44,f5f4
8/1P6/8/4k2p/5pp1/6P1/6K1/8 w - - 0 45,b7b8q
1Q6/8/8/4k2p/5pp1/6P1/6K1/8 b - - 0 45,e5e4
1Q6/8/8/7p/4kpp1/6P1/6K1/8 w - - 1 46,b8f4
8/8/8/7p/4kQp1/6P1/6K1/8 b - - 0 46,e4d5
8/8/8/3k3p/5Qp1/6P1/6K1/8 w - - 1 47,f4g5
8/8/8/3k2Qp/6p1/6P1/6K1/8 b - - 2 47,d5e4
8/8/8/6Qp/4k1p1/6P1/6K1/8 w - - 3 48,g5h5
8/8/8/7Q/4k1p1/6P1/6K1/8 b - - 0 48,e4d3
8/8/8/7Q/6p1/3k2P1/6K1/8 w - - 1 49,h5g4
8/8/8/8/6Q1/3k2P1/6K1/8 b - - 0 49,d3d2
8/8/8/8/6Q1/6P1/3k2K1/8 w - - 1 50,g4f4
8/8/8/8/5Q2/6P1/3k2K1/8 b - - 2 50,d2e1
8/8/8/8/5Q2/6P1/6K1/4k3 w - - 3 51,f4f3
8/8/8/8/8/5QP1/6K1/4k3 b - - 4 51,e1d2
8/8/8/8/8/5QP1/3k2K1/8 w - - 5 52,g3g4
8/8/8/8/6P1/5Q2/3k2K1/8 b - - 0 52,d2c1
8/8/8/8/6P1/5Q2/6K1/2k5 w - - 1 53,g4g5
8/8/8/6P1/8/5Q2/6K1/2k5 b - - 0 53,c1b1
8/8/8/6P1/8/5Q2/6K1/1k6 w - - 1 54,g5g6
8/8/6P1/8/8/5Q2/6K1/1k6 b - - 0 54,b1c1
8/8/6P1/8/8/5Q2/6K1/2k5 w - - 1 55,g6g7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e6
rnbqkbnr/pppp1ppp/4p3/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,c2c4
rnbqkbnr/pppp1ppp/4p3/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,g8f6
rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 1 3,b2b3
rnbqkb1r/pppp1ppp/4pn2/8/2P5/1P3N2/P2PPPPP/RNBQKB1R b KQkq - 0 3,d7d5
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq - 0 4,c1b2
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq - 1 4,b8d7
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 2 5,g2g3
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/1P3NP1/PB1PPP1P/RN1QKB1R b KQkq - 0 5,c7c6
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2P5/1P3NP1/PB1PPP1P/RN1QKB1R w KQkq - 0 6,f1g2
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1QK2R b KQkq - 1 6,a7a5
r1bqkb1r/1p1n1ppp/2p1pn2/p2p4/2P5/1P3NP1/PB1PPPBP/RN1QK2R w KQkq - 0 7,e1g1
r1bqkb1r/1p1n1ppp/2p1pn2/p2p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq - 1 7,a5a4
r1bqkb1r/1p1n1ppp/2p1pn2/3p4/p1P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w kq - 0 8,b1c3
r1bqkb1r/1p1n1ppp/2p1pn2/3p4/p1P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b kq - 1 8,a4a3
r1bqkb1r/1p1n1ppp/2p1pn2/3p4/2P5/pPN2NP1/PB1PPPBP/R2Q1RK1 w kq - 0 9,b2c1
r1bqkb1r/1p1n1ppp/2p1pn2/3p4/2P5/pPN2NP1/P2PPPBP/R1BQ1RK1 b kq - 1 9,f8d6
r1bqk2r/1p1n1ppp/2pbpn2/3p4/2P5/pPN2NP1/P2PPPBP/R1BQ1RK1 w kq - 2 10,d2d4
r1bqk2r/1p1n1ppp/2pbpn2/3p4/2PP4/pPN2NP1/P3PPBP/R1BQ1RK1 b kq - 0 10,e8g8
r1bq1rk1/1p1n1ppp/2pbpn2/3p4/2PP4/pPN2NP1/P3PPBP/R1BQ1RK1 w - - 1 11,d1c2
r1bq1rk1/1p1n1ppp/2pbpn2/3p4/2PP4/pPN2NP1/P1Q1PPBP/R1B2RK1 b - - 2 11,f8e8
r1bqr1k1/1p1n1ppp/2pbpn2/3p4/2PP4/pPN2NP1/P1Q1PPBP/R1B2RK1 w - - 3 12,e2e4
r1bqr1k1/1p1n1ppp/2pbpn2/3p4/2PPP3/pPN2NP1/P1Q2PBP/R1B2RK1 b - - 0 12,d6b4
r1bqr1k1/1p1n1ppp/2p1pn2/3p4/1bPPP3/pPN2NP1/P1Q2PBP/R1B2RK1 w - - 1 13,e4e5
r1bqr1k1/1p1n1ppp/2p1pn2/3pP3/1bPP4/pPN2NP1/P1Q2PBP/R1B2RK1 b - - 0 13,b4c3
r1bqr1k1/1p1n1ppp/2p1pn2/3pP3/2PP4/pPb2NP1/P1Q2PBP/R1B2RK1 w - - 0 14,c2c3
r1bqr1k1/1p1n1ppp/2p1pn2/3pP3/2PP4/pPQ2NP1/P4PBP/R1B2RK1 b - - 0 14,f6e4
r1bqr1k1/1p1n1ppp/2p1p3/3pP3/2PPn3/pPQ2NP1/P4PBP/R1B2RK1 w - - 1 15,c3e3
r1bqr1k1/1p1n1ppp/2p1p3/3pP3/2PPn3/pP2QNP1/P4PBP/R1B2RK1 b - - 2 15,c6c5
r1bqr1k1/1p1n1ppp/4p3/2ppP3/2PPn3/pP2QNP1/P4PBP/R1B2RK1 w - - 0 16,d4c5
r1bqr1k1/1p1n1ppp/4p3/2PpP3/2P1n3/pP2QNP1/P4PBP/R1B2RK1 b - - 0 16,d7c5
r1bqr1k1/1p3ppp/4p3/2npP3/2P1n3/pP2QNP1/P4PBP/R1B2RK1 w - - 0 17,f1d1
r1bqr1k1/1p3ppp/4p3/2npP3/2P1n3/pP2QNP1/P4PBP/R1BR2K1 b - - 1 17,d8e7
r1b1r1k1/1p2qppp/4p3/2npP3/2P1n3/pP2QNP1/P4PBP/R1BR2K1 w - - 2 18,c1d2
r1b1r1k1/1p2qppp/4p3/2npP3/2P1n3/pP2QNP1/P2B1PBP/R2R2K1 b - - 3 18,h7h6
r1b1r1k1/1p2qpp1/4p2p/2npP3/2P1n3/pP2QNP1/P2B1PBP/R2R2K1 w - - 0 19,d2b4
r1b1r1k1/1p2qpp1/4p2p/2npP3/1BP1n3/pP2QNP1/P4PBP/R2R2K1 b - - 1 19,e7c7
r1b1r1k1/1pq2pp1/4p2p/2npP3/1BP1n3/pP2QNP1/P4PBP/R2R2K1 w - - 2 20,f3d4
r1b1r1k1/1pq2pp1/4p2p/2npP3/1BPNn3/pP2Q1P1/P4PBP/R2R2K1 b - - 3 20,c5d7
r1b1r1k1/1pqn1pp1/4p2p/3pP3/1BPNn3/pP2Q1P1/P4PBP/R2R2K1 w - - 4 21,d4b5
r1b1r1k1/1pqn1pp1/4p2p/1N1pP3/1BP1n3/pP2Q1P1/P4PBP/R2R2K1 b - - 5 21,c7e5
r1b1r1k1/1p1n1pp1/4p2p/1N1pq3/1BP1n3/pP2Q1P1/P4PBP/R2R2K1 w - - 0 22,c4d5
r1b1r1k1/1p1n1pp1/4p2p/1N1Pq3/1B2n3/pP2Q1P1/P4PBP/R2R2K1 b - - 0 22,e6d5
r1b1r1k1/1p1n1pp1/7p/1N1pq3/1B2n3/pP2Q1P1/P4PBP/R2R2K1 w - - 0 23,a1c1
r1b1r1k1/1p1n1pp1/7p/1N1pq3/1B2n3/pP2Q1P1/P4PBP/2RR2K1 b - - 1 23,d7f6
r1b1r1k1/1p3pp1/5n1p/1N1pq3/1B2n3/pP2Q1P1/P4PBP/2RR2K1 w - - 2 24,b5c7
r1b1r1k1/1pN2pp1/5n1p/3pq3/1B2n3/pP2Q1P1/P4PBP/2RR2K1 b - - 3 24,c8g4
r3r1k1/1pN2pp1/5n1p/3pq3/1B2n1b1/pP2Q1P1/P4PBP/2RR2K1 w - - 4 25,f2f3
r3r1k1/1pN2pp1/5n1p/3pq3/1B2n1b1/pP2QPP1/P5BP/2RR2K1 b - - 0 25,g4f3
r3r1k1/1pN2pp1/5n1p/3pq3/1B2n3/pP2QbP1/P5BP/2RR2K1 w - - 0 26,g2f3
r3r1k1/1pN2pp1/5n1p/3pq3/1B2n3/pP2QBP1/P6P/2RR2K1 b - - 0 26,e8c8
r1r3k1/1pN2pp1/5n1p/3pq3/1B2n3/pP2QBP1/P6P/2RR2K1 w - - 1 27,c7a8
N1r3k1/1p3pp1/5n1p/3pq3/1B2n3/pP2QBP1/P6P/2RR2K1 b - - 0 27,c8c1
N5k1/1p3pp1/5n1p/3pq3/1B2n3/pP2QBP1/P6P/2rR2K1 w - - 0 28,d1c1
N5k1/1p3pp1/5n1p/3pq3/1B2n3/pP2QBP1/P6P/2R3K1 b - - 0 28,e5b2
N5k1/1p3pp1/5n1p/3p4/1B2n3/pP2QBP1/Pq5P/2R3K1 w - - 1 29,c1f1
N5k1/1p3pp1/5n1p/3p4/1B2n3/pP2QBP1/Pq5P/5RK1 b - - 2 29,b2a2
N5k1/1p3pp1/5n1p/3p4/1B2n3/pP2QBP1/q6P/5RK1 w - - 0 30,f3e4
N5k1/1p3pp1/5n1p/3p4/1B2B3/pP2Q1P1/q6P/5RK1 b - - 0 30,d5e4
N5k1/1p3pp1/5n1p/8/1B2p3/pP2Q1P1/q6P/5RK1 w - - 0 31,b4c3
N5k1/1p3pp1/5n1p/8/4p3/pPB1Q1P1/q6P/5RK1 b - - 1 31,f6g4
N5k1/1p3pp1/7p/8/4p1n1/pPB1Q1P1/q6P/5RK1 w - - 2 32,c3d4
N5k1/1p3pp1/7p/8/3Bp1n1/pP2Q1P1/q6P/5RK1 b - - 3 32,a2h2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
