fen,played_move_uci,best_move_uci,best_eval
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,e2e3,e2e3,26
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,f8g7,f8g7,-40
rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,c2c4,c2c3,42
rnbqk2r/ppp1ppbp/5np1/3p4/2PP1B2/4PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,e8g8,c7c5,1
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/4PN2/PP3PPP/RN1QKB1R w KQ - 1 6,f1e2,c4d5,7
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1QK2R b KQ - 2 6,c7c6,d5c4,26
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1QK2R w KQ - 0 7,e1g1,e1g1,60
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1Q1RK1 b - - 1 7,b8d7,d5c4,-29
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1Q1RK1 w - - 2 8,b1c3,c4d5,62
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 b - - 3 8,d7b6,f6h5,-39
r1bq1rk1/pp2ppbp/1np2np1/3p4/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - - 4 9,c4c5,c4c5,123
r1bq1rk1/pp2ppbp/1np2np1/2Pp4/3P1B2/2N1PN2/PP2BPPP/R2Q1RK1 b - - 0 9,b6d7,b6d7,-65
r1bq1rk1/pp1nppbp/2p2np1/2Pp4/3P1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - - 1 10,b2b4,h2h3,101
r1bq1rk1/pp1nppbp/2p2np1/2Pp4/1P1P1B2/2N1PN2/P3BPPP/R2Q1RK1 b - - 0 10,f6h5,f6h5,-18
r1bq1rk1/pp1nppbp/2p3p1/2Pp3n/1P1P1B2/2N1PN2/P3BPPP/R2Q1RK1 w - - 1 11,f4g5,f1e1,12
r1bq1rk1/pp1nppbp/2p3p1/2Pp2Bn/1P1P4/2N1PN2/P3BPPP/R2Q1RK1 b - - 2 11,h7h6,h7h6,34
r1bq1rk1/pp1nppb1/2p3pp/2Pp2Bn/1P1P4/2N1PN2/P3BPPP/R2Q1RK1 w - - 0 12,g5h4,g5h4,-47
