fen,played_move_uci,best_move_uci,best_eval
2r2rk1/pp2ppbp/3pbnp1/q7/2PBP3/1PN5/P2QBPP1/2R1K2R w K - 1 15,f2f3,c1d1,-57
2r2rk1/pp2ppbp/3pbnp1/q7/2PBP3/1PN2P2/P2QB1P1/2R1K2R b K - 0 15,f6d7,h7h5,78
2r2rk1/pp1nppbp/3pb1p1/q7/2PBP3/1PN2P2/P2QB1P1/2R1K2R w K - 1 16,d4g7,d4g7,368
2r2rk1/pp1nppBp/3pb1p1/q7/2P1P3/1PN2P2/P2QB1P1/2R1K2R b K - 0 16,f7f6,g8g7,-467
2r2rk1/pp1np1Bp/3pbpp1/q7/2P1P3/1PN2P2/P2QB1P1/2R1K2R w K - 0 17,d2h6,g7h6,562
2r2rk1/pp1np1Bp/3pbppQ/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R b K - 1 17,g8f7,g8f7,-538
2r2r2/pp1npkBp/3pbppQ/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R w K - 2 18,h6h7,g7f8,551
2r2r2/pp1npkBQ/3pbpp1/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R b K - 0 18,f7e8,f7e8,-502
2r1kr2/pp1np1BQ/3pbpp1/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R w K - 1 19,g7f8,g7f8,418
2r1kB2/pp1np2Q/3pbpp1/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R b K - 0 19,d7f8,d7f8,-471
2r1kn2/pp2p2Q/3pbpp1/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R w K - 0 20,h7h6,h7h6,483
2r1kn2/pp2p3/3pbppQ/q7/2P1P3/1PN2P2/P3B1P1/2R1K2R b K - 1 20,b7b5,g6g5,-466
2r1kn2/p3p3/3pbppQ/qp6/2P1P3/1PN2P2/P3B1P1/2R1K2R w K - 0 21,h6d2,b3b4,521
2r1kn2/p3p3/3pbpp1/qp6/2P1P3/1PN2P2/P2QB1P1/2R1K2R b K - 1 21,b5c4,b5b4,-505
2r1kn2/p3p3/3pbpp1/q7/2p1P3/1PN2P2/P2QB1P1/2R1K2R w K - 0 22,e2c4,c3d5,576
2r1kn2/p3p3/3pbpp1/q7/2B1P3/1PN2P2/P2Q2P1/2R1K2R b K - 0 22,e6c4,e6c4,-476
2r1kn2/p3p3/3p1pp1/q7/2b1P3/1PN2P2/P2Q2P1/2R1K2R w K - 0 23,b3c4,c3d5,532
2r1kn2/p3p3/3p1pp1/q7/2P1P3/2N2P2/P2Q2P1/2R1K2R b K - 0 23,c8c4,c8c4,-465
4kn2/p3p3/3p1pp1/q7/2r1P3/2N2P2/P2Q2P1/2R1K2R w K - 0 24,e1g1,c3d1,429
4kn2/p3p3/3p1pp1/q7/2r1P3/2N2P2/P2Q2P1/2R2RK1 b - - 1 24,f8e6,f8d7,-322
4k3/p3p3/3pnpp1/q7/2r1P3/2N2P2/P2Q2P1/2R2RK1 w - - 2 25,c3d5,d2d5,354
4k3/p3p3/3pnpp1/q2N4/2r1P3/5P2/P2Q2P1/2R2RK1 b - - 3 25,a5d2,a5d2,211
4k3/p3p3/3pnpp1/3N4/2r1P3/5P2/P2q2P1/2R2RK1 w - - 0 26,c1c4,c1c4,-165
4k3/p3p3/3pnpp1/3N4/2R1P3/5P2/P2q2P1/5RK1 b - - 0 26,d2a2,e6c5,195
4k3/p3p3/3pnpp1/3N4/2R1P3/5P2/q5P1/5RK1 w - - 0 27,d5c7,c4c8,-28
4k3/p1N1p3/3pnpp1/8/2R1P3/5P2/q5P1/5RK1 b - - 1 27,e6c7,e8f7,304
4k3/p1n1p3/3p1pp1/8/2R1P3/5P2/q5P1/5RK1 w - - 0 28,c4c7,c4c7,-130
4k3/p1R1p3/3p1pp1/8/4P3/5P2/q5P1/5RK1 b - - 0 28,a7a5,a2b2,119
4k3/2R1p3/3p1pp1/p7/4P3/5P2/q5P1/5RK1 w - - 0 29,c7c8,c7a7,-145
2R1k3/4p3/3p1pp1/p7/4P3/5P2/q5P1/5RK1 b - - 1 29,e8d7,e8f7,178
2R5/3kp3/3p1pp1/p7/4P3/5P2/q5P1/5RK1 w - - 2 30,c8c1,f1c1,-153
8/3kp3/3p1pp1/p7/4P3/5P2/q5P1/2R2RK1 b - - 3 30,a5a4,d7e6,114
8/3kp3/3p1pp1/8/p3P3/5P2/q5P1/2R2RK1 w - - 0 31,c1a1,c1a1,-107
8/3kp3/3p1pp1/8/p3P3/5P2/q5P1/R4RK1 b - - 1 31,a2b3,a2c4,105
8/3kp3/3p1pp1/8/p3P3/1q3P2/6P1/R4RK1 w - - 2 32,g1h1,f1f2,-97
8/3kp3/3p1pp1/8/p3P3/1q3P2/6P1/R4R1K b - - 3 32,a4a3,g6g5,90
8/3kp3/3p1pp1/8/4P3/pq3P2/6P1/R4R1K w - - 0 33,f1b1,f1f2,-17
8/3kp3/3p1pp1/8/4P3/pq3P2/6P1/RR5K b - - 1 33,b3c3,b3e3,155
8/3kp3/3p1pp1/8/4P3/p1q2P2/6P1/RR5K w - - 2 34,b1b7,a1a2,-91
8/1R1kp3/3p1pp1/8/4P3/p1q2P2/6P1/R6K b - - 3 34,d7e6,d7e6,171
8/1R2p3/3pkpp1/8/4P3/p1q2P2/6P1/R6K w - - 4 35,b7b1,b7b1,-166
8/4p3/3pkpp1/8/4P3/p1q2P2/6P1/RR5K b - - 5 35,f6f5,g6g5,185
8/4p3/3pk1p1/5p2/4P3/p1q2P2/6P1/RR5K w - - 0 36,b1c1,e4f5,-152
8/4p3/3pk1p1/5p2/4P3/p1q2P2/6P1/R1R4K b - - 1 36,c3d4,c3h8,232
8/4p3/3pk1p1/5p2/3qP3/p4P2/6P1/R1R4K w - - 2 37,e4f5,e4f5,-36
8/4p3/3pk1p1/5P2/3q4/p4P2/6P1/R1R4K b - - 0 37,g6f5,g6f5,47
8/4p3/3pk3/5p2/3q4/p4P2/6P1/R1R4K w - - 0 38,c1d1,a1a3,-44
8/4p3/3pk3/5p2/3q4/p4P2/6P1/R2R3K b - - 1 38,d4h4,d4h8,135
8/4p3/3pk3/5p2/7q/p4P2/6P1/R2R3K w - - 2 39,h1g1,h1g1,-94
8/4p3/3pk3/5p2/7q/p4P2/6P1/R2R2K1 b - - 3 39,h4b4,h4c4,124
8/4p3/3pk3/5p2/1q6/p4P2/6P1/R2R2K1 w - - 4 40,d1e1,a1a2,-113
8/4p3/3pk3/5p2/1q6/p4P2/6P1/R3R1K1 b - - 5 40,e6f6,e6f6,182
8/4p3/3p1k2/5p2/1q6/p4P2/6P1/R3R1K1 w - - 6 41,e1b1,e1b1,-183
8/4p3/3p1k2/5p2/1q6/p4P2/6P1/RR4K1 b - - 7 41,b4c3,b4c4,215
8/4p3/3p1k2/5p2/8/p1q2P2/6P1/RR4K1 w - - 8 42,b1f1,a1a2,-163
8/4p3/3p1k2/5p2/8/p1q2P2/6P1/R4RK1 b - - 9 42,c3d4,d6d5,261
8/4p3/3p1k2/5p2/3q4/p4P2/6P1/R4RK1 w - - 10 43,f1f2,g1h2,-220
8/4p3/3p1k2/5p2/3q4/p4P2/5RP1/R5K1 b - - 11 43,d4b2,d4a1,671
8/4p3/3p1k2/5p2/8/p4P2/1q3RP1/R5K1 w - - 12 44,g1h2,f2b2,481
8/4p3/3p1k2/5p2/8/p4P2/1q3RPK/R7 b - - 13 44,b2f2,b2a1,645
8/4p3/3p1k2/5p2/8/p4P2/5qPK/R7 w - - 0 45,a1a3,a1a3,-541
8/4p3/3p1k2/5p2/8/R4P2/5qPK/8 b - - 0 45,f2b2,f2h4,534
8/4p3/3p1k2/5p2/8/R4P2/1q4PK/8 w - - 1 46,a3a4,a3a5,-480
8/4p3/3p1k2/5p2/R7/5P2/1q4PK/8 b - - 2 46,b2e5,b2e5,519
8/4p3/3p1k2/4qp2/R7/5P2/6PK/8 w - - 3 47,h2h3,h2h3,-505
8/4p3/3p1k2/4qp2/R7/5P1K/6P1/8 b - - 4 47,f5f4,e5c3,557
8/4p3/3p1k2/4q3/R4p2/5P1K/6P1/8 w - - 0 48,a4e4,h3h2,-470
8/4p3/3p1k2/4q3/4Rp2/5P1K/6P1/8 b - - 1 48,d6d5,e5h5,99999
8/4p3/5k2/3pq3/4Rp2/5P1K/6P1/8 w - - 0 49,h3h2,e4e5,-518
8/4p3/5k2/3pq3/4Rp2/5P2/6PK/8 b - - 1 49,d5e4,d5e4,725
8/4p3/5k2/4q3/4pp2/5P2/6PK/8 w - - 0 50,f3e4,g2g3,-855
8/4p3/5k2/4q3/4Pp2/8/6PK/8 b - - 0 50,e5e4,f4f3,1125
8/4p3/5k2/8/4qp2/8/6PK/8 w - - 0 51,h2h3,h2g1,-99990
8/4p3/5k2/8/4qp2/7K/6P1/8 b - - 1 51,f6g5,e4e2,99992
8/4p3/8/6k1/4qp2/7K/6P1/8 w - - 2 52,g2g3,h3h2,-1176
8/4p3/8/6k1/4qp2/6PK/8/8 b - - 0 52,e4e3,e4h1,99999
8/4p3/8/6k1/5p2/4q1PK/8/8 w - - 1 53,h3g2,h3g2,-99997
8/4p3/8/6k1/5p2/4q1P1/6K1/8 b - - 2 53,e3g3,f4f3,99997
8/4p3/8/6k1/5p2/6q1/6K1/8 w - - 0 54,g2f1,g2f1,-898
8/4p3/8/6k1/5p2/6q1/8/5K2 b - - 1 54,g3h2,g3e3,99995
8/4p3/8/6k1/5p2/8/7q/5K2 w - - 2 55,f1e1,f1e1,-902
8/4p3/8/6k1/5p2/8/7q/4K3 b - - 3 55,f4f3,h2g3,1271
8/4p3/8/6k1/8/5p2/7q/4K3 w - - 0 56,e1d1,e1d1,-99997
8/4p3/8/6k1/8/5p2/7q/3K4 b - - 1 56,h2b2,h2e2,99997
8/4p3/8/6k1/8/5p2/1q6/3K4 w - - 2 57,d1e1,d1e1,-99999
8/4p3/8/6k1/8/5p2/1q6/4K3 b - - 3 57,b2e2,b2e2,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c2c4,e2e4,41
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,d7d5,e7e5,5
rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,b1c3,c4d5,88
rnbqkbnr/ppp1pppp/8/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,d5c4,d5d4,104
rnbqkbnr/ppp1pppp/8/8/2p5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,g2g3,e2e3,26
rnbqkbnr/ppp1pppp/8/8/2p5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,c8d7,e7e5,42
rn1qkbnr/pppbpppp/8/8/2p5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 1 4,f1g2,e2e3,-17
rn1qkbnr/pppbpppp/8/8/2p5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 2 4,d7c6,b8c6,24
rn1qkbnr/ppp1pppp/2b5/8/2p5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 3 5,g1f3,g1f3,-13
rn1qkbnr/ppp1pppp/2b5/8/2p5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 4 5,e7e5,e7e6,18
rn1qkbnr/ppp2ppp/2b5/4p3/2p5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6,e1g1,e1g1,32
rn1qkbnr/ppp2ppp/2b5/4p3/2p5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6,f8d6,b8d7,-35
rn1qk1nr/ppp2ppp/2bb4/4p3/2p5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 7,d2d3,b2b3,56
rn1qk1nr/ppp2ppp/2bb4/4p3/2p5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq - 0 7,c4d3,c4d3,-5
rn1qk1nr/ppp2ppp/2bb4/4p3/8/2Np1NP1/PP2PPBP/R1BQ1RK1 w kq - 0 8,e2d3,d1d3,5
rn1qk1nr/ppp2ppp/2bb4/4p3/8/2NP1NP1/PP3PBP/R1BQ1RK1 b kq - 0 8,g8f6,g8e7,38
rn1qk2r/ppp2ppp/2bb1n2/4p3/8/2NP1NP1/PP3PBP/R1BQ1RK1 w kq - 1 9,f1e1,d3d4,60
rn1qk2r/ppp2ppp/2bb1n2/4p3/8/2NP1NP1/PP3PBP/R1BQR1K1 b kq - 2 9,e8g8,e8g8,38
rn1q1rk1/ppp2ppp/2bb1n2/4p3/8/2NP1NP1/PP3PBP/R1BQR1K1 w - - 3 10,f3e5,d3d4,-30
rn1q1rk1/ppp2ppp/2bb1n2/4N3/8/2NP2P1/PP3PBP/R1BQR1K1 b - - 0 10,c6g2,d6e5,43
rn1q1rk1/ppp2ppp/3b1n2/4N3/8/2NP2P1/PP3PbP/R1BQR1K1 w - - 0 11,g1g2,g1g2,-40
rn1q1rk1/ppp2ppp/3b1n2/4N3/8/2NP2P1/PP3PKP/R1BQR3 b - - 0 11,d6e5,d6e5,65
rn1q1rk1/ppp2ppp/5n2/4b3/8/2NP2P1/PP3PKP/R1BQR3 w - - 0 12,e1e5,e1e5,-34
rn1q1rk1/ppp2ppp/5n2/4R3/8/2NP2P1/PP3PKP/R1BQ4 b - - 0 12,b8c6,b8c6,27
r2q1rk1/ppp2ppp/2n2n2/4R3/8/2NP2P1/PP3PKP/R1BQ4 w - - 1 13,e5e1,e5c5,-33
r2q1rk1/ppp2ppp/2n2n2/8/8/2NP2P1/PP3PKP/R1BQR3 b - - 2 13,d8d7,d8d7,77
r4rk1/pppq1ppp/2n2n2/8/8/2NP2P1/PP3PKP/R1BQR3 w - - 3 14,c1e3,c1e3,-59
r4rk1/pppq1ppp/2n2n2/8/8/2NPB1P1/PP3PKP/R2QR3 b - - 4 14,h7h6,a8d8,78
r4rk1/pppq1pp1/2n2n1p/8/8/2NPB1P1/PP3PKP/R2QR3 w - - 0 15,d3d4,d3d4,-44
r4rk1/pppq1pp1/2n2n1p/8/3P4/2N1B1P1/PP3PKP/R2QR3 b - - 0 15,c6e7,f8e8,35
r4rk1/pppqnpp1/5n1p/8/3P4/2N1B1P1/PP3PKP/R2QR3 w - - 1 16,d1d2,d1f3,-25
r4rk1/pppqnpp1/5n1p/8/3P4/2N1B1P1/PP1Q1PKP/R3R3 b - - 2 16,g8h7,a8e8,39
r4r2/pppqnppk/5n1p/8/3P4/2N1B1P1/PP1Q1PKP/R3R3 w - - 3 17,a1d1,f2f3,-22
r4r2/pppqnppk/5n1p/8/3P4/2N1B1P1/PP1Q1PKP/3RR3 b - - 4 17,e7d5,h7g8,35
r4r2/pppq1ppk/5n1p/3n4/3P4/2N1B1P1/PP1Q1PKP/3RR3 w - - 5 18,d2d3,e3f4,-17
r4r2/pppq1ppk/5n1p/3n4/3P4/2NQB1P1/PP3PKP/3RR3 b - - 6 18,g7g6,h7g8,29
r4r2/pppq1p1k/5npp/3n4/3P4/2NQB1P1/PP3PKP/3RR3 w - - 0 19,c3e4,e3c1,36
r4r2/pppq1p1k/5npp/3n4/3PN3/3QB1P1/PP3PKP/3RR3 b - - 1 19,f6e4,f6e4,34
r4r2/pppq1p1k/6pp/3n4/3Pn3/3QB1P1/PP3PKP/3RR3 w - - 0 20,d3e4,d3e4,-52
r4r2/pppq1p1k/6pp/3n4/3PQ3/4B1P1/PP3PKP/3RR3 b - - 0 20,a8e8,f8e8,49
4rr2/pppq1p1k/6pp/3n4/3PQ3/4B1P1/PP3PKP/3RR3 w - - 1 21,e4d3,e4f3,-36
4rr2/pppq1p1k/6pp/3n4/3P4/3QB1P1/PP3PKP/3RR3 b - - 2 21,c7c6,e8e6,38
4rr2/pp1q1p1k/2p3pp/3n4/3P4/3QB1P1/PP3PKP/3RR3 w - - 0 22,e3d2,e3d2,-48
4rr2/pp1q1p1k/2p3pp/3n4/3P4/3Q2P1/PP1B1PKP/3RR3 b - - 1 22,f7f5,e8e1,38
4rr2/pp1q3k/2p3pp/3n1p2/3P4/3Q2P1/PP1B1PKP/3RR3 w - - 0 23,d2c3,e1e5,5
4rr2/pp1q3k/2p3pp/3n1p2/3P4/2BQ2P1/PP3PKP/3RR3 b - - 1 23,d5f6,f5f4,25
4rr2/pp1q3k/2p2npp/5p2/3P4/2BQ2P1/PP3PKP/3RR3 w - - 2 24,a2a3,e1e5,15
4rr2/pp1q3k/2p2npp/5p2/3P4/P1BQ2P1/1P3PKP/3RR3 b - - 0 24,d7d5,e8e1,31
4rr2/pp5k/2p2npp/3q1p2/3P4/P1BQ2P1/1P3PKP/3RR3 w - - 1 25,f2f3,f2f3,-4
4rr2/pp5k/2p2npp/3q1p2/3P4/P1BQ1PP1/1P4KP/3RR3 b - - 0 25,e8e4,d5d7,4
5r2/pp5k/2p2npp/3q1p2/3Pr3/P1BQ1PP1/1P4KP/3RR3 w - - 1 26,f3e4,f3e4,319
5r2/pp5k/2p2npp/3q1p2/3PP3/P1BQ2P1/1P4KP/3RR3 b - - 0 26,f5e4,f5e4,-225
5r2/pp5k/2p2npp/3q4/3Pp3/P1BQ2P1/1P4KP/3RR3 w - - 0 27,d3e3,d3e3,284
5r2/pp5k/2p2npp/3q4/3Pp3/P1B1Q1P1/1P4KP/3RR3 b - - 1 27,f6g4,d5h5,-318
5r2/pp5k/2p3pp/3q4/3Pp1n1/P1B1Q1P1/1P4KP/3RR3 w - - 2 28,e3e2,e3e4,347
5r2/pp5k/2p3pp/3q4/3Pp1n1/P1B3P1/1P2Q1KP/3RR3 b - - 3 28,e4e3,e4e3,1077
5r2/pp5k/2p3pp/3q4/3P2n1/P1B1p1P1/1P2Q1KP/3RR3 w - - 0 29,g2g1,g2g1,-867
5r2/pp5k/2p3pp/3q4/3P2n1/P1B1p1P1/1P2Q2P/3RR1K1 b - - 1 29,g4f2,g4f2,907
5r2/pp5k/2p3pp/3q4/3P4/P1B1p1P1/1P2Qn1P/3RR1K1 w - - 2 30,e1f1,e2f3,-99995
5r2/pp5k/2p3pp/3q4/3P4/P1B1p1P1/1P2Qn1P/3R1RK1 b - - 3 30,d5h1,f2h3,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,e2e4,42
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,d7d5,d7d5,3
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,d2d4,d2d4,-12
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 2,c7c5,g8f6,18
rnbqkbnr/pp2pppp/8/2pp4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,g1f3,d4c5,13
rnbqkbnr/pp2pppp/8/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,c5d4,b8c6,12
rnbqkbnr/pp2pppp/8/3p4/3p4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,f3d4,d1d4,94
rnbqkbnr/pp2pppp/8/3p4/3N4/2N5/PPP1PPPP/R1BQKB1R b KQkq - 0 4,e7e5,e7e5,40
rnbqkbnr/pp3ppp/8/3pp3/3N4/2N5/PPP1PPPP/R1BQKB1R w KQkq - 0 5,d4f3,d4f3,-44
rnbqkbnr/pp3ppp/8/3pp3/8/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 5,d5d4,d5d4,39
rnbqkbnr/pp3ppp/8/4p3/3p4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 6,c3e4,c3b1,-32
rnbqkbnr/pp3ppp/8/4p3/3pN3/5N2/PPP1PPPP/R1BQKB1R b KQkq - 1 6,b8c6,f7f5,137
r1bqkbnr/pp3ppp/2n5/4p3/3pN3/5N2/PPP1PPPP/R1BQKB1R w KQkq - 2 7,e2e3,e2e3,-37
r1bqkbnr/pp3ppp/2n5/4p3/3pN3/4PN2/PPP2PPP/R1BQKB1R b KQkq - 0 7,f7f5,f7f5,71
r1bqkbnr/pp4pp/2n5/4pp2/3pN3/4PN2/PPP2PPP/R1BQKB1R w KQkq - 0 8,e4g3,e4g3,-26
r1bqkbnr/pp4pp/2n5/4pp2/3p4/4PNN1/PPP2PPP/R1BQKB1R b KQkq - 1 8,f8b4,f8b4,40
r1bqk1nr/pp4pp/2n5/4pp2/1b1p4/4PNN1/PPP2PPP/R1BQKB1R w KQkq - 2 9,c1d2,c1d2,-31
r1bqk1nr/pp4pp/2n5/4pp2/1b1p4/4PNN1/PPPB1PPP/R2QKB1R b KQkq - 3 9,b4d2,d4e3,38
r1bqk1nr/pp4pp/2n5/4pp2/3p4/4PNN1/PPPb1PPP/R2QKB1R w KQkq - 0 10,d1d2,d1d2,-27
r1bqk1nr/pp4pp/2n5/4pp2/3p4/4PNN1/PPPQ1PPP/R3KB1R b KQkq - 0 10,d4e3,d4e3,32
r1bqk1nr/pp4pp/2n5/4pp2/8/4pNN1/PPPQ1PPP/R3KB1R w KQkq - 0 11,d2d8,f2e3,-37
r1bQk1nr/pp4pp/2n5/4pp2/8/4pNN1/PPP2PPP/R3KB1R b KQkq - 0 11,e8d8,e8d8,35
r1bk2nr/pp4pp/2n5/4pp2/8/4pNN1/PPP2PPP/R3KB1R w KQ - 0 12,f2e3,e1c1,-30
r1bk2nr/pp4pp/2n5/4pp2/8/4PNN1/PPP3PP/R3KB1R b KQ - 0 12,e5e4,g8f6,28
r1bk2nr/pp4pp/2n5/5p2/4p3/4PNN1/PPP3PP/R3KB1R w KQ - 0 13,e1c1,e1c1,-28
r1bk2nr/pp4pp/2n5/5p2/4p3/4PNN1/PPP3PP/2KR1B1R b - - 1 13,d8e7,d8e7,42
r1b3nr/pp2k1pp/2n5/5p2/4p3/4PNN1/PPP3PP/2KR1B1R w - - 2 14,f3d4,f3d4,-51
r1b3nr/pp2k1pp/2n5/5p2/3Np3/4P1N1/PPP3PP/2KR1B1R b - - 3 14,c6d4,g7g6,55
r1b3nr/pp2k1pp/8/5p2/3np3/4P1N1/PPP3PP/2KR1B1R w - - 0 15,e3d4,d1d4,-38
r1b3nr/pp2k1pp/8/5p2/3Pp3/6N1/PPP3PP/2KR1B1R b - - 0 15,g8f6,g8f6,125
r1b4r/pp2k1pp/5n2/5p2/3Pp3/6N1/PPP3PP/2KR1B1R w - - 1 16,f1c4,c2c4,-154
r1b4r/pp2k1pp/5n2/5p2/2BPp3/6N1/PPP3PP/2KR3R b - - 2 16,f5f4,c8d7,172
r1b4r/pp2k1pp/5n2/8/2BPpp2/6N1/PPP3PP/2KR3R w - - 0 17,g3e2,g3e4,207
r1b4r/pp2k1pp/5n2/8/2BPpp2/8/PPP1N1PP/2KR3R b - - 1 17,c8f5,c8g4,75
r6r/pp2k1pp/5n2/5b2/2BPpp2/8/PPP1N1PP/2KR3R w - - 2 18,e2f4,e2f4,177
r6r/pp2k1pp/5n2/5b2/2BPpN2/8/PPP3PP/2KR3R b - - 0 18,h8c8,e7d6,-134
r1r5/pp2k1pp/5n2/5b2/2BPpN2/8/PPP3PP/2KR3R w - - 1 19,c4b3,f4d5,236
r1r5/pp2k1pp/5n2/5b2/3PpN2/1B6/PPP3PP/2KR3R b - - 2 19,a7a5,e7d6,-171
r1r5/1p2k1pp/5n2/p4b2/3PpN2/1B6/PPP3PP/2KR3R w - - 0 20,a2a4,f4d5,215
r1r5/1p2k1pp/5n2/p4b2/P2PpN2/1B6/1PP3PP/2KR3R b - - 0 20,b7b5,a8b8,-170
r1r5/4k1pp/5n2/pp3b2/P2PpN2/1B6/1PP3PP/2KR3R w - - 0 21,a4b5,f4d5,204
r1r5/4k1pp/5n2/pP3b2/3PpN2/1B6/1PP3PP/2KR3R b - - 0 21,a5a4,a5a4,-148
r1r5/4k1pp/5n2/1P3b2/p2PpN2/1B6/1PP3PP/2KR3R w - - 0 22,b3a2,b3a2,170
r1r5/4k1pp/5n2/1P3b2/p2PpN2/8/BPP3PP/2KR3R b - - 1 22,e4e3,a8a5,-154
r1r5/4k1pp/5n2/1P3b2/p2P1N2/4p3/BPP3PP/2KR3R w - - 0 23,f4d3,c2c4,253
r1r5/4k1pp/5n2/1P3b2/p2P4/3Np3/BPP3PP/2KR3R b - - 1 23,a4a3,f6g4,-236
r1r5/4k1pp/5n2/1P3b2/3P4/p2Np3/BPP3PP/2KR3R w - - 0 24,b2b4,d3c5,254
r1r5/4k1pp/5n2/1P3b2/1P1P4/p2Np3/B1P3PP/2KR3R b - - 0 24,c8c3,f6e4,-50
r7/4k1pp/5n2/1P3b2/1P1P4/p1rNp3/B1P3PP/2KR3R w - - 1 25,d1e1,h1e1,72
r7/4k1pp/5n2/1P3b2/1P1P4/p1rNp3/B1P3PP/2K1R2R b - - 2 25,f6g4,f6g4,74
r7/4k1pp/8/1P3b2/1P1P2n1/p1rNp3/B1P3PP/2K1R2R w - - 3 26,c1d1,c1b1,-80
r7/4k1pp/8/1P3b2/1P1P2n1/p1rNp3/B1P3PP/3KR2R b - - 4 26,f5d3,f5d3,368
r7/4k1pp/8/1P6/1P1P2n1/p1rbp3/B1P3PP/3KR2R w - - 0 27,c2d3,c2d3,-347
r7/4k1pp/8/1P6/1P1P2n1/p1rPp3/B5PP/3KR2R b - - 0 27,a8c8,g4f2,356
2r5/4k1pp/8/1P6/1P1P2n1/p1rPp3/B5PP/3KR2R w - - 1 28,d1e2,a2c4,-318
2r5/4k1pp/8/1P6/1P1P2n1/p1rPp3/B3K1PP/4R2R b - - 2 28,c8f8,c8f8,380
5r2/4k1pp/8/1P6/1P1P2n1/p1rPp3/B3K1PP/4R2R w - - 3 29,a2b1,e1a1,-394
5r2/4k1pp/8/1P6/1P1P2n1/p1rPp3/4K1PP/1B2R2R b - - 4 29,f8f2,f8f2,99998
8/4k1pp/8/1P6/1P1P2n1/p1rPp3/4KrPP/1B2R2R w - - 5 30,e2d1,e2d1,-99999
8/4k1pp/8/1P6/1P1P2n1/p1rPp3/5rPP/1B1KR2R b - - 6 30,c3b3,f2d2,99999
8/4k1pp/8/1P6/1P1P2n1/pr1Pp3/5rPP/1B1KR2R w - - 7 31,e1e3,d1c1,-690
8/4k1pp/8/1P6/1P1P2n1/pr1PR3/5rPP/1B1K3R b - - 0 31,g4e3,g4e3,99995
8/4k1pp/8/1P6/1P1P4/pr1Pn3/5rPP/1B1K3R w - - 0 32,d1e1,d1c1,-99996
8/4k1pp/8/1P6/1P1P4/pr1Pn3/5rPP/1B2K2R b - - 1 32,b3b2,b3b2,99997
8/4k1pp/8/1P6/1P1P4/p2Pn3/1r3rPP/1B2K2R w - - 2 33,d4d5,b1c2,-99998
8/4k1pp/8/1P1P4/1P6/p2Pn3/1r3rPP/1B2K2R b - - 0 33,b2e2,f2e2,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4,30
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c6,c7c5,-24
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,d2d4,55
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d7d5,d7d5,-46
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,b1c3,e4e5,41
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,d5e4,d5e4,-25
